"Supplementary Table S2 - Instrument repertoire based on the work of Izikowitz (1935) on ethnographic data, and information on the societies for which the instrument data is found",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Aerophone,Aerophone,Aerophone,Aerophone,Idiophone,Aerophone,Aerophone,Aerophone,Idiophone,Idiophone,Aerophone,Aerophone,Idiophone,Aerophone,Aerophone,Aerophone,Aerophone,Membranophone,Aerophone,Idiophone,Aerophone,Idiophone,Aerophone,Membranophone,Aerophone,Membranophone,Aerophone,Idiophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Idiophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Aerophone,Idiophone,Idiophone,Idiophone,Idiophone
Ethnic_group,Language_Family,lon,lat,number of instruments,bark_trumpets,bark_trumpets_played_like_panpipes,bullroarer,buzz_disc,clappers,double_whistles_with_blow_taps,duct_flutes_without_stops,duct_flutes_with_stops,dyadiko,flat_roots_as_signal_instruments,aztec_flute,flutes_with_blow_hole_in_septum,friction_idiophones,goajiro_clarinets_with_stops,heteroglottal_clarinets,humming_nuts,humming_tops,chaco_type_kettle_drums,nose_blown_flutes,notched_stick,oscillating_ribbon_reeds,plank_drums,polyglobular_trumpets,two_headed_drums,shell_trumpets_(end_blown),single_membrane_tubular_drums,slit_valve_instruments,spear_rattles,tore_clarinets,hand_stop_flute,buccal_whistle,other_transverse_flutes_without_stops,serere_whistle,simple_closed_pipes,timbira_flute,transverse_flutes_without_airducts_and_with_stops,trumpets_of_two_longitudinal_halves,tubular_rattles,whistling_arrows_and_darts,wooden_trumpet,chaco_clarinet,complex_trumpet,plug_flute,mataco_whistle,gourd_trumpet,bamboo_trumpet,cow_horn_trumpet,globular_flutes_without_stops,resonator_whistle,globular_flutes_with_stops,simple_end_flute,kena,panpipe,gourd_rattle,jingle_rattle,hollow_log_drum,stamping_tube
Abipones,Guaicuruan,-61,-29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ache,Tupian,-56.46968,-25.58653,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amahuaca,Pano_Tacanan,-72.320825,-10.20116,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanaye,Tupian,-48.66126,-3.79772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Andoa,Zaparoan,-76.60558,-3.29664,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Andoke,Andoque,-72.08686,-0.53751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aonikenk,Chonan,-68.32346,-47.57963,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Apapocuva,Tupian,-55.05098667,-25.65214333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Apinage,Nuclear_Macro_Je,-47.63153,-6.10774,14,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1
Apiaca,Tupian,-57.91002,-7.84711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhuaco,Chibchan,-73.63629,10.70184,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Atruahi,Cariban,-60.42595,-0.61832,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Aueto,Tupian,-53.58519,-12.93358,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Ava-Guarani,Tupian,-61.717855,-21.090935,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Awajun,Jivaroan,-77.92179,-5.30044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aymara,Aymara,-68.5,-17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
Bara,Tucanoan,-70.164405,0.30416,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Bororo,Bororoan,-55.20043,-16.60295,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
Bora,Boran,-68.90929,-2.91467,7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Caingang,Nuclear_Macro_Je,-52.53937,-27.76708,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
